No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8712136409227683,0.8703571428571428,0.8972754050073638,0.8709798276276866,"[0.6842789649963379, 0.6385506391525269, 0.5601993799209595, 0.4781471788883209, 0.41179484128952026, 0.365807443857193, 0.33445045351982117, 0.31212836503982544, 0.295849084854126, 0.28378161787986755]","[0.6687972545623779, 0.6045082211494446, 0.5227851867675781, 0.44999411702156067, 0.39749908447265625, 0.36405259370803833, 0.343239426612854, 0.33007144927978516, 0.3220716416835785, 0.316990464925766]"
2,0.8696088264794383,0.8723864455659697,0.8910162002945509,0.8694535458770273,"[0.6880320310592651, 0.6561516523361206, 0.5917056798934937, 0.5099493861198425, 0.4377397298812866, 0.38389185070991516, 0.3484968841075897, 0.32318300008773804, 0.30639490485191345, 0.29233771562576294]","[0.6779923439025879, 0.6301296949386597, 0.554800808429718, 0.4767588973045349, 0.4165637493133545, 0.3765445053577423, 0.35155779123306274, 0.33578184247016907, 0.32556256651878357, 0.3188461661338806]"
3,0.8700100300902708,0.8666666666666667,0.8998527245949927,0.8697065690018658,"[0.6872410178184509, 0.6457927227020264, 0.5699175000190735, 0.4886407256126404, 0.42260947823524475, 0.3755413293838501, 0.3430843651294708, 0.32107940316200256, 0.3039131760597229, 0.2906142473220825]","[0.6744034886360168, 0.6130387187004089, 0.5320403575897217, 0.4595504701137543, 0.4068254232406616, 0.3713112771511078, 0.34884941577911377, 0.33425280451774597, 0.32490214705467224, 0.3192412555217743]"
4,0.8732196589769308,0.8764450867052023,0.8932253313696613,0.8730859381389406,"[0.6881992816925049, 0.6521229147911072, 0.5743721127510071, 0.48567965626716614, 0.41464293003082275, 0.3672172725200653, 0.3361908197402954, 0.3129409849643707, 0.29732033610343933, 0.2842542827129364]","[0.6783583164215088, 0.6199400424957275, 0.5333633422851562, 0.4539770185947418, 0.3991468548774719, 0.36507028341293335, 0.3437744975090027, 0.3305782675743103, 0.3220176696777344, 0.31676167249679565]"
5,0.8710130391173521,0.8743228602383532,0.8913843888070693,0.8708740910197882,"[0.6843993067741394, 0.6358171105384827, 0.551373302936554, 0.46630799770355225, 0.4034214913845062, 0.3595726191997528, 0.32965487241744995, 0.30948391556739807, 0.29366087913513184, 0.2831838130950928]","[0.6686053276062012, 0.598760187625885, 0.5116580724716187, 0.4391084313392639, 0.39040428400039673, 0.3595023453235626, 0.3403383791446686, 0.32854896783828735, 0.321105420589447, 0.31606754660606384]"
