No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8718154463390171,0.8734268248831356,0.8943298969072165,0.8716419483769012,"[0.689233124256134, 0.6576790809631348, 0.5907421112060547, 0.5080212354660034, 0.4357331097126007, 0.38321852684020996, 0.34676674008369446, 0.3223423361778259, 0.3050765097141266, 0.2899099588394165]","[0.6802119612693787, 0.6300324201583862, 0.55352783203125, 0.47566816210746765, 0.4162481129169464, 0.3768827021121979, 0.35153868794441223, 0.33530375361442566, 0.3251042366027832, 0.3183031380176544]"
2,0.8710130391173521,0.8711063372717508,0.8958026509572902,0.8708012699023175,"[0.6874943375587463, 0.652545154094696, 0.5807244777679443, 0.4987357556819916, 0.42956289649009705, 0.3787551522254944, 0.3439866602420807, 0.31998389959335327, 0.30297353863716125, 0.28965842723846436]","[0.6770226359367371, 0.622641921043396, 0.5429832935333252, 0.4672582745552063, 0.4106750190258026, 0.37293487787246704, 0.34900030493736267, 0.333783894777298, 0.32456091046333313, 0.31826701760292053]"
3,0.8704112337011033,0.8693790149892934,0.8969072164948454,0.8701694337749933,"[0.6877155900001526, 0.6530208587646484, 0.5812422037124634, 0.49863821268081665, 0.42984628677368164, 0.37918370962142944, 0.34446969628334045, 0.3227503299713135, 0.3047115206718445, 0.2913740277290344]","[0.677655041217804, 0.6230030655860901, 0.543269693851471, 0.4669189155101776, 0.4107879400253296, 0.3734932541847229, 0.3495345115661621, 0.3351741433143616, 0.3247241675853729, 0.31864693760871887]"
4,0.8722166499498496,0.8727142344926497,0.8961708394698086,0.8720193069676312,"[0.6862443089485168, 0.6413210034370422, 0.5585781335830688, 0.4722291827201843, 0.4045701324939728, 0.35893121361732483, 0.3291698396205902, 0.3077419400215149, 0.2929636240005493, 0.28023260831832886]","[0.6731585264205933, 0.6054754257202148, 0.5185886025428772, 0.44283202290534973, 0.3912491500377655, 0.35968106985092163, 0.3398886024951935, 0.32746025919914246, 0.31968772411346436, 0.3150542080402374]"
5,0.8714142427281846,0.8706680957484816,0.8972754050073638,0.871184017133367,"[0.6893419623374939, 0.6573688387870789, 0.5855756402015686, 0.4967721700668335, 0.4220897853374481, 0.3719234764575958, 0.3378860056400299, 0.3139859139919281, 0.29785260558128357, 0.2843221127986908]","[0.6805142760276794, 0.6288279294967651, 0.5450713634490967, 0.4632164537906647, 0.40489661693573, 0.3683222234249115, 0.345673143863678, 0.33165663480758667, 0.32239285111427307, 0.3168603181838989]"
