No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8704985454910221,0.8773911459282201,0.8862716231137284,0.8704295408905428,"[0.688998818397522, 0.6391015648841858, 0.5072536468505859, 0.38647013902664185, 0.322213351726532, 0.2890765368938446, 0.26887568831443787, 0.2550988495349884, 0.244388610124588, 0.23592279851436615]","[0.6784690618515015, 0.5839720964431763, 0.4477567970752716, 0.36821454763412476, 0.3353941738605499, 0.32186535000801086, 0.3171195089817047, 0.31618425250053406, 0.3176799714565277, 0.3206707239151001]"
2,0.8704985454910221,0.880022014309301,0.8827751196172249,0.8704780811347707,"[0.6859918832778931, 0.6261111497879028, 0.5056169033050537, 0.3953728973865509, 0.3297603130340576, 0.29384279251098633, 0.2722697854042053, 0.25760674476623535, 0.246749147772789, 0.23808082938194275]","[0.6695813536643982, 0.573840856552124, 0.4536968469619751, 0.37668508291244507, 0.33997514843940735, 0.32430028915405273, 0.31845781207084656, 0.31695905327796936, 0.3186250925064087, 0.32100215554237366]"
3,0.8703982345270338,0.8797213054638797,0.8829591461170408,0.8703740599027388,"[0.6860925555229187, 0.6249669194221497, 0.4887813329696655, 0.371910959482193, 0.31330999732017517, 0.28322258591651917, 0.2645105719566345, 0.2514325678348541, 0.2411191463470459, 0.23276498913764954]","[0.6703574061393738, 0.5666773915290833, 0.4320058822631836, 0.35869160294532776, 0.33052292466163635, 0.3194468915462494, 0.3158957362174988, 0.31622013449668884, 0.31868723034858704, 0.32214149832725525]"
4,0.8708997893469757,0.8792756539235412,0.8846153846153846,0.8708594836735974,"[0.6880335807800293, 0.636791467666626, 0.5264847874641418, 0.4202249050140381, 0.3455513119697571, 0.3008938729763031, 0.27450135350227356, 0.25786834955215454, 0.2461225837469101, 0.23693645000457764]","[0.6756431460380554, 0.5887872576713562, 0.4793596565723419, 0.3978176712989807, 0.35115987062454224, 0.32934048771858215, 0.3209570348262787, 0.31903716921806335, 0.3203853666782379, 0.32264116406440735]"
5,0.8715016551309058,0.8763820917165126,0.8897681266102319,0.8713952362731175,"[0.6879507899284363, 0.6323930621147156, 0.5019179582595825, 0.3841746747493744, 0.3209526538848877, 0.2880426347255707, 0.2678069472312927, 0.25374671816825867, 0.24315907061100006, 0.234364315867424]","[0.6750264167785645, 0.5775710940361023, 0.4449027478694916, 0.3674924075603485, 0.33504918217658997, 0.3218146860599518, 0.3173048496246338, 0.31707707047462463, 0.31821170449256897, 0.3210993707180023]"
