No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8621865596790371,0.8440149203119701,0.916421207658321,0.8612912292637804,"[0.6922242045402527, 0.6875024437904358, 0.6756677627563477, 0.6551831960678101, 0.6267746090888977, 0.5915662050247192, 0.5509332418441772, 0.5078468918800354, 0.46571144461631775, 0.4268665909767151]","[0.6907689571380615, 0.6833528280258179, 0.6678943037986755, 0.6444018483161926, 0.6140860319137573, 0.5783527493476868, 0.5382745265960693, 0.49823710322380066, 0.46072807908058167, 0.4272986352443695]"
2,0.8621865596790371,0.8314276380267887,0.937039764359352,0.8606319956258109,"[0.691613495349884, 0.683894157409668, 0.6659547090530396, 0.6389257907867432, 0.6049571633338928, 0.5667092800140381, 0.5268149375915527, 0.4874626100063324, 0.4501839578151703, 0.4160638153553009]","[0.689267635345459, 0.6770421862602234, 0.6551552414894104, 0.6258143782615662, 0.5913182497024536, 0.5544061064720154, 0.5172620415687561, 0.4817393720149994, 0.44905194640159607, 0.4201577305793762]"
3,0.8633901705115345,0.8495362418412916,0.9105301914580265,0.8626903529378874,"[0.6922109723091125, 0.6867548823356628, 0.672295093536377, 0.648098886013031, 0.6147245168685913, 0.574440062046051, 0.5301158428192139, 0.48501062393188477, 0.44260022044181824, 0.4050460159778595]","[0.6906256079673767, 0.6815592050552368, 0.6628973484039307, 0.6354694962501526, 0.5999974012374878, 0.5598667860031128, 0.517477810382843, 0.4764805734157562, 0.4397113621234894, 0.4086141586303711]"
4,0.8637913741223671,0.844204123014532,0.9197349042709867,0.8628543927824871,"[0.6923014521598816, 0.6872190833091736, 0.6739029884338379, 0.6518206596374512, 0.6208539605140686, 0.5830056071281433, 0.5405867099761963, 0.49669525027275085, 0.4544593095779419, 0.4162861108779907]","[0.6909200549125671, 0.6822487711906433, 0.6653065085411072, 0.6398717164993286, 0.6069403290748596, 0.5686423778533936, 0.5277324914932251, 0.48722484707832336, 0.44995352625846863, 0.41770732402801514]"
5,0.8583751253761284,0.8233590733590733,0.9421944035346097,0.8564461046131455,"[0.6918100714683533, 0.6848344206809998, 0.66982102394104, 0.647602915763855, 0.6192379593849182, 0.5861592888832092, 0.5506314039230347, 0.5144407153129578, 0.4789668619632721, 0.44529834389686584]","[0.6896075010299683, 0.6789491176605225, 0.6609497666358948, 0.6367888450622559, 0.6075145602226257, 0.5750932693481445, 0.5415350198745728, 0.5083077549934387, 0.47666916251182556, 0.44712358713150024]"
