No,Test_Size,Max_Features,Accuracy Score,Precision Score,Recall Score,F1 Score,Loss,Val Loss
1,0.1,5000,0.8511534603811435,0.8570911722141823,0.8722385861561119,0.8510097267890027,"[0.6731961369514465, 0.635487973690033, 0.598545491695404, 0.563306987285614, 0.5309991836547852, 0.5025971531867981, 0.47766560316085815, 0.4563308358192444, 0.43810972571372986, 0.4226137399673462]","[0.6540459394454956, 0.6178180575370789, 0.5819394588470459, 0.548515260219574, 0.5188371539115906, 0.4924676716327667, 0.4711574614048004, 0.4505196809768677, 0.43358132243156433, 0.4201835095882416]"
2,0.1,5000,0.8577733199598796,0.843546730571722,0.9072164948453608,0.8569950221551659,"[0.6691332459449768, 0.6242792010307312, 0.5831488966941833, 0.5455561280250549, 0.512872040271759, 0.48502182960510254, 0.4612269997596741, 0.44099628925323486, 0.4241107702255249, 0.40945491194725037]","[0.6461883187294006, 0.6045984625816345, 0.5652590394020081, 0.5310071706771851, 0.5008631944656372, 0.47578874230384827, 0.45390909910202026, 0.4361022412776947, 0.4206841289997101, 0.4073040783405304]"
3,0.1,5000,0.8529588766298897,0.8467995802728226,0.8913843888070693,0.8524525589297418,"[0.6764101982116699, 0.6440107226371765, 0.6115556359291077, 0.5792288780212402, 0.5486468076705933, 0.5206064581871033, 0.4956810474395752, 0.4737835228443146, 0.45463788509368896, 0.43810445070266724]","[0.6599544882774353, 0.6287417411804199, 0.5966818928718567, 0.5655009746551514, 0.5369699001312256, 0.5104313492774963, 0.4875231087207794, 0.4673125445842743, 0.44954439997673035, 0.4342428147792816]"
4,0.1,5000,0.8501504513540622,0.8243822075782538,0.9212076583210603,0.8486413375249625,"[0.6752570271492004, 0.6412403583526611, 0.6069976687431335, 0.5731831192970276, 0.5414103865623474, 0.5128480792045593, 0.4873618483543396, 0.4652835726737976, 0.44610679149627686, 0.4296269714832306]","[0.6582244038581848, 0.6251027584075928, 0.5915087461471558, 0.5589691996574402, 0.5291202664375305, 0.502937912940979, 0.47981923818588257, 0.46054956316947937, 0.4414198100566864, 0.4276644289493561]"
5,0.1,5000,0.8523570712136409,0.8543307086614174,0.8788659793814433,0.8521110457266015,"[0.6729618906974792, 0.6353458166122437, 0.5986219644546509, 0.5635840892791748, 0.53142911195755, 0.50270676612854, 0.4776884913444519, 0.45604071021080017, 0.43718332052230835, 0.42127424478530884]","[0.6539761424064636, 0.6181754469871521, 0.5823721289634705, 0.5500657558441162, 0.5193940997123718, 0.49289432168006897, 0.46996623277664185, 0.4502606987953186, 0.43357595801353455, 0.41927045583724976]"
