No,Test_Size,Max_Features,Accuracy Score,Precision Score,Recall Score,F1 Score,Loss,Val Loss
1,0.2,5000,0.8644798876517203,0.8681695220919747,0.8859035701140965,0.864325424182807,"[0.6774880290031433, 0.5257402062416077, 0.36172813177108765, 0.30899837613105774, 0.28877541422843933, 0.27722638845443726, 0.269194632768631, 0.2630000114440918, 0.25796249508857727, 0.25358960032463074]","[0.6338252425193787, 0.4238007366657257, 0.34211301803588867, 0.3248349130153656, 0.32070669531822205, 0.3209139406681061, 0.3227943480014801, 0.3259440064430237, 0.3284977972507477, 0.3317347466945648]"
2,0.2,5000,0.8651820643996389,0.8702027516292542,0.8846153846153846,0.8650601152318325,"[0.6793518662452698, 0.5333308577537537, 0.36327165365219116, 0.30900585651397705, 0.28895604610443115, 0.2777152359485626, 0.2698054015636444, 0.2636070251464844, 0.2586519420146942, 0.2546112537384033]","[0.639858067035675, 0.4285352826118469, 0.34190353751182556, 0.3245716989040375, 0.32113581895828247, 0.321393758058548, 0.3228553533554077, 0.3256891667842865, 0.328305184841156, 0.33135268092155457]"
3,0.2,5000,0.8628749122279065,0.8683209563484876,0.882223040117777,0.8627553815714728,"[0.6715385913848877, 0.4935273230075836, 0.3468270003795624, 0.30378976464271545, 0.28615638613700867, 0.2756364345550537, 0.268223375082016, 0.26278385519981384, 0.2585144639015198, 0.25486281514167786]","[0.6119093894958496, 0.3991186022758484, 0.33667686581611633, 0.32350388169288635, 0.3212900459766388, 0.322027325630188, 0.3244174122810364, 0.32741203904151917, 0.3306230902671814, 0.3340105414390564]"
4,0.2,5000,0.8645801986157087,0.8735821441639224,0.8787265366212734,0.8645392458726234,"[0.6709533333778381, 0.4957001507282257, 0.3475295901298523, 0.30297812819480896, 0.28530657291412354, 0.2746836841106415, 0.26762041449546814, 0.26218467950820923, 0.2578318417072296, 0.2542838156223297]","[0.6107037663459778, 0.4025099277496338, 0.33680325746536255, 0.3242565095424652, 0.32283464074134827, 0.3232347071170807, 0.32558727264404297, 0.3285169005393982, 0.33226147294044495, 0.3351198136806488]"
5,0.2,5000,0.8638780218677902,0.8716499544211486,0.8798306956201694,0.8638110517935876,"[0.677249550819397, 0.5443809628486633, 0.38696184754371643, 0.3182867169380188, 0.2937796413898468, 0.2810828685760498, 0.2729460895061493, 0.26691457629203796, 0.2621915638446808, 0.2582920789718628]","[0.6358916163444519, 0.4581480920314789, 0.35603371262550354, 0.33077535033226013, 0.3244083523750305, 0.3237740695476532, 0.32532235980033875, 0.32792213559150696, 0.3306289613246918, 0.33367305994033813]"
6,0.2,10000,0.8617714916240345,0.8693989071038252,0.8783584836216415,0.8616964175861883,"[0.6730684638023376, 0.5231372117996216, 0.36320972442626953, 0.29828429222106934, 0.27129170298576355, 0.2552485764026642, 0.24380455911159515, 0.23465950787067413, 0.22713692486286163, 0.22086475789546967]","[0.6241761445999146, 0.4339112341403961, 0.344662070274353, 0.32361775636672974, 0.32062679529190063, 0.3226590156555176, 0.32709166407585144, 0.33274900913238525, 0.3401932120323181, 0.3470754027366638]"
7,0.2,10000,0.862172735479988,0.8657657657657658,0.8842473316157526,0.8620077363881194,"[0.6768822073936462, 0.5194814801216125, 0.35258615016937256, 0.29372668266296387, 0.26831507682800293, 0.25270089507102966, 0.24102959036827087, 0.23164823651313782, 0.22392427921295166, 0.21705086529254913]","[0.6298054456710815, 0.42065462470054626, 0.3375833034515381, 0.319504976272583, 0.31679123640060425, 0.3188328742980957, 0.3237007260322571, 0.3292601704597473, 0.33498477935791016, 0.34214815497398376]"
8,0.2,10000,0.8617714916240345,0.8717008797653959,0.87523003312477,0.8617430666902997,"[0.6749145984649658, 0.5175625085830688, 0.3532762825489044, 0.29444387555122375, 0.26928552985191345, 0.2537402808666229, 0.24233335256576538, 0.2331969439983368, 0.2257150113582611, 0.2191382497549057]","[0.6267276406288147, 0.42106255888938904, 0.3386979401111603, 0.3209682106971741, 0.31834113597869873, 0.3207526206970215, 0.32525473833084106, 0.3311314582824707, 0.33754995465278625, 0.34467360377311707]"
9,0.2,10000,0.8591634065603371,0.8690476190476191,0.8732057416267942,0.8591290283972194,"[0.6725291609764099, 0.5202949047088623, 0.36530715227127075, 0.2987735867500305, 0.2708648145198822, 0.25476616621017456, 0.2431853711605072, 0.2341633141040802, 0.22665424644947052, 0.2204216569662094]","[0.6198780536651611, 0.4345305263996124, 0.34641924500465393, 0.3243861496448517, 0.3210054636001587, 0.32377904653549194, 0.329134464263916, 0.3355969786643982, 0.3428722321987152, 0.3502236008644104]"
10,0.2,10000,0.8606680710201625,0.8634321653189577,0.8842473316157526,0.8604768581894743,"[0.669033408164978, 0.49361664056777954, 0.3405744135379791, 0.28911906480789185, 0.265839159488678, 0.2509615421295166, 0.2398064136505127, 0.2311246395111084, 0.2238609343767166, 0.2176264375448227]","[0.607948899269104, 0.4021657705307007, 0.33393803238868713, 0.3203117549419403, 0.31943389773368835, 0.32282546162605286, 0.3285709321498871, 0.3345296084880829, 0.341655969619751, 0.34998711943626404]"
