No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8738214643931795,0.8624522403612366,0.9142120765832106,0.8875781948168008,"[0.6212717294692993, 0.4836077392101288, 0.4058727025985718, 0.36336377263069153, 0.3396415114402771, 0.3220217227935791, 0.31087726354599, 0.2997092306613922, 0.2910938560962677, 0.28208208084106445]","[0.5402806997299194, 0.42603132128715515, 0.37014907598495483, 0.34364354610443115, 0.3282979726791382, 0.31962329149246216, 0.3147379755973816, 0.3094903230667114, 0.30572637915611267, 0.30606433749198914]"
2,0.8732196589769308,0.8759018759018758,0.8939617083946981,0.8848396501457726,"[0.6142919659614563, 0.47607627511024475, 0.3984508812427521, 0.35972103476524353, 0.3376223146915436, 0.3221834897994995, 0.30955180525779724, 0.2999419867992401, 0.29010429978370667, 0.2839527428150177]","[0.5301945209503174, 0.4211828410625458, 0.3671771287918091, 0.34277698397636414, 0.32812294363975525, 0.3199615180492401, 0.31526288390159607, 0.31396743655204773, 0.3084196448326111, 0.3064194619655609]"
3,0.8724172517552657,0.8618649965205288,0.9120029455081001,0.8862254025044722,"[0.6393073797225952, 0.5114738941192627, 0.42351657152175903, 0.3779701888561249, 0.3495415449142456, 0.3305656313896179, 0.31736668944358826, 0.30677759647369385, 0.29739445447921753, 0.2908395826816559]","[0.5703331232070923, 0.4523189067840576, 0.3863767087459564, 0.35618287324905396, 0.3363993167877197, 0.324358195066452, 0.31696179509162903, 0.3119072914123535, 0.30902087688446045, 0.30788058042526245]"
4,0.873420260782347,0.8762179718513172,0.8939617083946981,0.8850009112447603,"[0.6189676523208618, 0.4794963300228119, 0.40028664469718933, 0.3593854606151581, 0.33514541387557983, 0.3194274604320526, 0.30660244822502136, 0.29734376072883606, 0.28766682744026184, 0.27905622124671936]","[0.5362609028816223, 0.4211713671684265, 0.3706229329109192, 0.34046778082847595, 0.32856231927871704, 0.32009658217430115, 0.31279826164245605, 0.30811500549316406, 0.305471807718277, 0.3028607964515686]"
5,0.8724172517552657,0.8798392987582176,0.8869661266568483,0.8833883388338832,"[0.6157936453819275, 0.47527390718460083, 0.39963024854660034, 0.3578743040561676, 0.33592283725738525, 0.3202727138996124, 0.3065395951271057, 0.29582175612449646, 0.28809139132499695, 0.28016868233680725]","[0.5324203968048096, 0.4233672618865967, 0.36926525831222534, 0.3422005772590637, 0.32679304480552673, 0.3177594542503357, 0.3123018741607666, 0.3082074820995331, 0.3048311769962311, 0.30292221903800964]"
