No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8732196589769308,0.8753602305475504,0.894698085419735,0.8849235251274581,"[0.6004146337509155, 0.4481048882007599, 0.3736320734024048, 0.33915698528289795, 0.31693828105926514, 0.3028550446033478, 0.29307058453559875, 0.2852998673915863, 0.27647483348846436, 0.26761743426322937]","[0.5072834491729736, 0.3993343710899353, 0.3523901402950287, 0.3336852490901947, 0.32418736815452576, 0.3160681128501892, 0.31520357728004456, 0.3098890483379364, 0.3077947497367859, 0.307142049074173]"
2,0.8740220661985958,0.8774403470715835,0.8935935198821797,0.8854432688799708,"[0.6269029378890991, 0.48461195826530457, 0.39555883407592773, 0.3521164059638977, 0.3271911144256592, 0.3122279942035675, 0.300648957490921, 0.2899564504623413, 0.28293997049331665, 0.27530381083488464]","[0.5500407218933105, 0.42764589190483093, 0.3698747158050537, 0.34100472927093506, 0.32665473222732544, 0.31885454058647156, 0.3135449290275574, 0.31147488951683044, 0.3073922395706177, 0.30622997879981995]"
3,0.8738214643931795,0.8837808017653549,0.8847569955817378,0.8842686292548299,"[0.6225171089172363, 0.48124781250953674, 0.39592212438583374, 0.3520858585834503, 0.32794663310050964, 0.3112702965736389, 0.29932549595832825, 0.29071757197380066, 0.28315305709838867, 0.2762235403060913]","[0.5442808866500854, 0.42565539479255676, 0.3703933358192444, 0.3442522883415222, 0.32837557792663574, 0.3196030259132385, 0.31577780842781067, 0.3113738000392914, 0.3101392984390259, 0.30805954337120056]"
4,0.8736208625877633,0.8722341184867951,0.8998527245949927,0.8858281986226894,"[0.6074289083480835, 0.45926856994628906, 0.38222116231918335, 0.3451026380062103, 0.3209916651248932, 0.3066503703594208, 0.2948545515537262, 0.286160409450531, 0.2779622972011566, 0.2702410817146301]","[0.5192008018493652, 0.4076492488384247, 0.36001136898994446, 0.3355664610862732, 0.32398372888565063, 0.3170965909957886, 0.31222712993621826, 0.3089379668235779, 0.3068656623363495, 0.3055625259876251]"
5,0.8724172517552657,0.8768115942028986,0.8910162002945509,0.8838568298027758,"[0.6130250692367554, 0.4675878584384918, 0.3892397880554199, 0.3499149680137634, 0.32915541529655457, 0.31400537490844727, 0.3030543327331543, 0.2955664396286011, 0.28783708810806274, 0.2811111807823181]","[0.5268330574035645, 0.41446924209594727, 0.3638511002063751, 0.33820775151252747, 0.33018428087234497, 0.3215011656284332, 0.3198801875114441, 0.3160056173801422, 0.31256580352783203, 0.31166914105415344]"
