No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.872617853560682,0.8749549549549549,0.8939617083946981,0.8724632289621723,"[0.689048171043396, 0.6490634679794312, 0.5485711693763733, 0.4409227967262268, 0.36773398518562317, 0.32666638493537903, 0.3018224835395813, 0.28566572070121765, 0.27491214871406555, 0.2641334533691406]","[0.6796221137046814, 0.6068227291107178, 0.4925198554992676, 0.4001148045063019, 0.3498605787754059, 0.32697758078575134, 0.31790071725845337, 0.31563714146614075, 0.31500402092933655, 0.31682050228118896]"
2,0.8710130391173521,0.8800880088008801,0.8836524300441826,0.8709866663839472,"[0.6878958940505981, 0.6408259272575378, 0.5344165563583374, 0.42686349153518677, 0.3561820685863495, 0.319644957780838, 0.29585251212120056, 0.2811550199985504, 0.26713916659355164, 0.2584352195262909]","[0.6755565404891968, 0.5943630337715149, 0.4774681329727173, 0.3886357545852661, 0.3428783416748047, 0.32361626625061035, 0.31650710105895996, 0.31334906816482544, 0.3147439658641815, 0.3157452344894409]"
3,0.8720160481444333,0.8740100791936645,0.8939617083946981,0.8718518053766848,"[0.6883458495140076, 0.6418565511703491, 0.52571040391922, 0.41018617153167725, 0.347316712141037, 0.3133390545845032, 0.2913442552089691, 0.27671268582344055, 0.2658555209636688, 0.256043016910553]","[0.6764383912086487, 0.5933701992034912, 0.4592355191707611, 0.3719288110733032, 0.3347252905368805, 0.31844717264175415, 0.3120913803577423, 0.3103054463863373, 0.31127020716667175, 0.3137475550174713]"
4,0.8714142427281846,0.8763148349655423,0.8895434462444771,0.8713097109808897,"[0.6901044249534607, 0.649616539478302, 0.5300614833831787, 0.41131046414375305, 0.3469144105911255, 0.3161535859107971, 0.29453057050704956, 0.28001999855041504, 0.26830169558525085, 0.26012590527534485]","[0.6819332242012024, 0.6005847454071045, 0.4628051519393921, 0.37432861328125, 0.33732569217681885, 0.3214227259159088, 0.31450122594833374, 0.31234338879585266, 0.31281718611717224, 0.31437575817108154]"
5,0.8728184553660983,0.8771739130434782,0.8913843888070693,0.8727068045874172,"[0.6879276633262634, 0.6335436105728149, 0.5161500573158264, 0.4131792187690735, 0.3497162163257599, 0.3149447739124298, 0.29376688599586487, 0.2800828814506531, 0.26901760697364807, 0.2587277889251709]","[0.675305187702179, 0.5798795223236084, 0.46036478877067566, 0.38016998767852783, 0.3401632010936737, 0.322208046913147, 0.3160454332828522, 0.31323373317718506, 0.3141472339630127, 0.3158916234970093]"
