No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8714142427281846,0.8717305625223934,0.8958026509572902,0.8712094178666486,"[0.6881691217422485, 0.6393263339996338, 0.5150226354598999, 0.4037882089614868, 0.34559446573257446, 0.3136848211288452, 0.2931060194969177, 0.27896055579185486, 0.2700608968734741, 0.26070892810821533]","[0.6767035722732544, 0.5860830545425415, 0.4474264979362488, 0.36698517203330994, 0.33356449007987976, 0.31961584091186523, 0.31409046053886414, 0.31146523356437683, 0.3117230236530304, 0.3143085539340973]"
2,0.8716148445336008,0.8771802325581395,0.8888070692194403,0.8715241605799499,"[0.688763439655304, 0.6418766975402832, 0.5159107446670532, 0.4014117419719696, 0.3411402404308319, 0.310124009847641, 0.2904968559741974, 0.2780361771583557, 0.2662605941295624, 0.25689226388931274]","[0.6782971620559692, 0.5879328846931458, 0.44785410165786743, 0.3658405542373657, 0.33166372776031494, 0.31771203875541687, 0.3122731149196625, 0.31029459834098816, 0.31182554364204407, 0.3128831386566162]"
3,0.8712136409227683,0.8730215827338129,0.8935935198821797,0.871042352490003,"[0.6891642808914185, 0.6432149410247803, 0.5250584483146667, 0.4110603630542755, 0.34834718704223633, 0.31354790925979614, 0.2941438555717468, 0.28045472502708435, 0.2696370780467987, 0.2599811851978302]","[0.6786767244338989, 0.5931295156478882, 0.46004727482795715, 0.37426191568374634, 0.33644524216651917, 0.3214992880821228, 0.3144025504589081, 0.31325554847717285, 0.3125348389148712, 0.31494978070259094]"
4,0.8756268806419257,0.8783393501805055,0.8958026509572902,0.8754900962307138,"[0.6883392333984375, 0.6412898898124695, 0.5284024477005005, 0.41735967993736267, 0.35484349727630615, 0.3189140260219574, 0.2997452914714813, 0.2835516631603241, 0.2726214826107025, 0.26497042179107666]","[0.676956057548523, 0.5919734835624695, 0.4659753739833832, 0.3819652497768402, 0.34122928977012634, 0.32499849796295166, 0.31624937057495117, 0.3140234053134918, 0.31384050846099854, 0.31535452604293823]"
5,0.8748244734202608,0.8768011527377522,0.8961708394698086,0.8746696402454585,"[0.6898826360702515, 0.6526656746864319, 0.5466195344924927, 0.43269434571266174, 0.36495912075042725, 0.3261636793613434, 0.3035706877708435, 0.2867297828197479, 0.2736421525478363, 0.265238493680954]","[0.6818883419036865, 0.6097632050514221, 0.48414579033851624, 0.39187857508659363, 0.3468308746814728, 0.3253384530544281, 0.3157447278499603, 0.3115496337413788, 0.3102482557296753, 0.3113641142845154]"
