No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8736208625877633,0.8754499640028798,0.8954344624447718,0.8734586792904568,"[0.6860436797142029, 0.630724310874939, 0.5260524749755859, 0.43209534883499146, 0.3658892810344696, 0.3258184492588043, 0.30065226554870605, 0.28657904267311096, 0.27435603737831116, 0.2626512348651886]","[0.6702573299407959, 0.5818618535995483, 0.47902071475982666, 0.4013589918613434, 0.35448938608169556, 0.3313167989253998, 0.3211652338504791, 0.31908562779426575, 0.3185395896434784, 0.32183218002319336]"
2,0.8730190571715145,0.8702452897262709,0.9013254786450663,0.8727461708178851,"[0.690285325050354, 0.6602729558944702, 0.57281893491745, 0.46219322085380554, 0.3818144202232361, 0.33570295572280884, 0.31121301651000977, 0.2921384274959564, 0.2814010679721832, 0.26871296763420105]","[0.6835198998451233, 0.6258143782615662, 0.5153385400772095, 0.4143698215484619, 0.35724854469299316, 0.3305591940879822, 0.3195056617259979, 0.31345558166503906, 0.31193777918815613, 0.31430384516716003]"
3,0.8728184553660983,0.8769007965242578,0.8917525773195877,0.8727012447170905,"[0.6862081289291382, 0.628183126449585, 0.5263481736183167, 0.4424867331981659, 0.3815405070781708, 0.33964648842811584, 0.3132852017879486, 0.29586949944496155, 0.2816565930843353, 0.27027156949043274]","[0.6704285740852356, 0.5781752467155457, 0.48284369707107544, 0.4142675995826721, 0.3682359457015991, 0.3418174982070923, 0.3278113007545471, 0.3215348720550537, 0.31993919610977173, 0.3213777244091034]"
4,0.8730190571715145,0.8796937659496901,0.8884388807069219,0.8729530646486142,"[0.6883598566055298, 0.6451551914215088, 0.5436297059059143, 0.44062888622283936, 0.3704506456851959, 0.331844300031662, 0.30762356519699097, 0.2895101010799408, 0.27899646759033203, 0.26667410135269165]","[0.6780256628990173, 0.6003818511962891, 0.48780521750450134, 0.4008033573627472, 0.35165196657180786, 0.32834917306900024, 0.3181057870388031, 0.31492629647254944, 0.31276997923851013, 0.3132382035255432]"
5,0.8714142427281846,0.8752260397830018,0.8910162002945509,0.8712872259139177,"[0.686928927898407, 0.6220776438713074, 0.49267578125, 0.38963934779167175, 0.33623895049095154, 0.30689722299575806, 0.28856682777404785, 0.27485084533691406, 0.26479077339172363, 0.25462162494659424]","[0.67033451795578, 0.5616937279701233, 0.43195563554763794, 0.3590397834777832, 0.3291705846786499, 0.31683287024497986, 0.31236958503723145, 0.3111846148967743, 0.31163322925567627, 0.31402745842933655]"
