No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8732196589769308,0.8737446197991392,0.8969072164948454,0.8730269266228788,"[0.6888680458068848, 0.6463976502418518, 0.5384830832481384, 0.42731454968452454, 0.36256861686706543, 0.3279607594013214, 0.3051733672618866, 0.2888013422489166, 0.2778517007827759, 0.26814407110214233]","[0.6783697605133057, 0.6021720170974731, 0.47619953751564026, 0.3858414590358734, 0.3428168296813965, 0.3229214549064636, 0.31402587890625, 0.3104328513145447, 0.30955013632774353, 0.31077125668525696]"
2,0.8732196589769308,0.8789090909090909,0.8899116347569955,0.8731354403997823,"[0.687004804611206, 0.6307467818260193, 0.503688633441925, 0.3947634696960449, 0.336071640253067, 0.30838707089424133, 0.28809091448783875, 0.2741796672344208, 0.2624835968017578, 0.25505945086479187]","[0.6728690266609192, 0.5733615756034851, 0.43896567821502686, 0.3614563047885895, 0.329529345035553, 0.3170446753501892, 0.31153759360313416, 0.3105047345161438, 0.3120884299278259, 0.3143649697303772]"
3,0.8736208625877633,0.8711743772241993,0.9013254786450663,0.8733591554457966,"[0.6878557205200195, 0.6357007622718811, 0.5248619914054871, 0.4301290512084961, 0.36800000071525574, 0.3322431743144989, 0.30695855617523193, 0.29154911637306213, 0.27996596693992615, 0.269992858171463]","[0.6756025552749634, 0.5840669274330139, 0.47354352474212646, 0.3975165784358978, 0.35318490862846375, 0.331693172454834, 0.3219458758831024, 0.3176739811897278, 0.31748202443122864, 0.3197901248931885]"
4,0.8736208625877633,0.8765342960288809,0.8939617083946981,0.8734818719763704,"[0.6889196634292603, 0.6440064907073975, 0.5288379192352295, 0.41887548565864563, 0.3541989028453827, 0.3190891742706299, 0.2989116311073303, 0.28485825657844543, 0.2713175117969513, 0.2615329921245575]","[0.6785129904747009, 0.5940560102462769, 0.46335142850875854, 0.3765570819377899, 0.33778390288352966, 0.32086798548698425, 0.3135339021682739, 0.31099268794059753, 0.31104347109794617, 0.31257763504981995]"
5,0.873420260782347,0.8784029038112523,0.8910162002945509,0.8733227882240295,"[0.6879522800445557, 0.6388023495674133, 0.5291379690170288, 0.424235075712204, 0.3592183589935303, 0.32356470823287964, 0.30159398913383484, 0.2872624099254608, 0.27255573868751526, 0.26410460472106934]","[0.6760199069976807, 0.5900303721427917, 0.4714602828025818, 0.38605520129203796, 0.3442036211490631, 0.32521378993988037, 0.3188490867614746, 0.3144943118095398, 0.3165014684200287, 0.31731894612312317]"
