No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8619859578736209,0.8465481886534518,0.9120029455081001,0.8612061500178239,"[0.6924777626991272, 0.6884863972663879, 0.6794177889823914, 0.664513885974884, 0.6431585550308228, 0.6156104207038879, 0.582908034324646, 0.5462964177131653, 0.5096211433410645, 0.4728880822658539]","[0.6912863254547119, 0.6850016117095947, 0.6736258864402771, 0.6563101410865784, 0.6326190829277039, 0.603291392326355, 0.5693016648292542, 0.5331219434738159, 0.4968763589859009, 0.4624217450618744]"
2,0.8599799398194584,0.8319078947368421,0.9311487481590575,0.8585379096994118,"[0.6926172971725464, 0.6895378232002258, 0.6809309124946594, 0.6654691100120544, 0.6437899470329285, 0.6158260107040405, 0.5847775340080261, 0.5503368973731995, 0.5151596069335938, 0.4810313582420349]","[0.6917833685874939, 0.6864403486251831, 0.674852728843689, 0.6565335392951965, 0.6325966715812683, 0.6036127209663391, 0.5709924101829529, 0.5361773371696472, 0.5013301372528076, 0.4679539203643799]"
3,0.8625877632898696,0.8522372528616025,0.904639175257732,0.862012033134777,"[0.6926453709602356, 0.6899295449256897, 0.6829847693443298, 0.6709679961204529, 0.653767466545105, 0.6313724517822266, 0.6039263606071472, 0.5728148221969604, 0.538648784160614, 0.504619300365448]","[0.691895067691803, 0.687423586845398, 0.678306519985199, 0.6642524003982544, 0.6451031565666199, 0.6208980083465576, 0.592094361782074, 0.5596500635147095, 0.5253768563270569, 0.49125462770462036]"
4,0.8619859578736209,0.8402684563758389,0.9219440353460973,0.8609218337107931,"[0.6925859451293945, 0.6895691156387329, 0.6818562746047974, 0.6676809191703796, 0.6458479166030884, 0.6169589161872864, 0.582211971282959, 0.545375645160675, 0.5061023235321045, 0.4690555930137634]","[0.6917226314544678, 0.6868653893470764, 0.6765090227127075, 0.659300684928894, 0.6348266005516052, 0.6038609147071838, 0.5680365562438965, 0.530372142791748, 0.4927581548690796, 0.4577842056751251]"
5,0.8633901705115345,0.838152210036557,0.9285714285714286,0.8621713826962395,"[0.6921705007553101, 0.6877172589302063, 0.6766897439956665, 0.6571633219718933, 0.6303807497024536, 0.596890926361084, 0.5607200264930725, 0.5227993726730347, 0.48529043793678284, 0.45014169812202454]","[0.6907880306243896, 0.6837010383605957, 0.6689842343330383, 0.6463098526000977, 0.6170716285705566, 0.5827465057373047, 0.5458491444587708, 0.50850510597229, 0.47279950976371765, 0.4404802918434143]"
