No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.875827482447342,0.8783832551425478,0.8961708394698086,0.8756881063839418,"[0.6901621222496033, 0.6548107266426086, 0.5499587059020996, 0.4363248944282532, 0.3638741672039032, 0.32514312863349915, 0.303995281457901, 0.2904464900493622, 0.27805763483047485, 0.268043577671051]","[0.6832271218299866, 0.61190265417099, 0.48822835087776184, 0.3921685814857483, 0.3442627787590027, 0.3234504163265228, 0.3143479824066162, 0.3103804588317871, 0.30885931849479675, 0.30943334102630615]"
2,0.8728184553660983,0.8758122743682311,0.8932253313696613,0.872678582274633,"[0.687361478805542, 0.6218871474266052, 0.4831390976905823, 0.3795609176158905, 0.3287214934825897, 0.30345577001571655, 0.28608226776123047, 0.273519366979599, 0.26427245140075684, 0.2558533251285553]","[0.6714948415756226, 0.5575544238090515, 0.42068323493003845, 0.35322684049606323, 0.3258807063102722, 0.3153176009654999, 0.3106705844402313, 0.30940964818000793, 0.31019487977027893, 0.31243571639060974]"
3,0.8736208625877633,0.8738351254480287,0.8976435935198822,0.8734226257155163,"[0.6883464455604553, 0.6388003826141357, 0.5183557271957397, 0.4050823450088501, 0.3446647822856903, 0.31464532017707825, 0.29451096057891846, 0.2825302481651306, 0.2713712453842163, 0.26375293731689453]","[0.6767343282699585, 0.5865264534950256, 0.4523918032646179, 0.36805304884910583, 0.3318040370941162, 0.3173283338546753, 0.3108024299144745, 0.3083993196487427, 0.3084008991718292, 0.3102657198905945]"
4,0.8760280842527582,0.8776097912167027,0.8976435935198822,0.8758689901611149,"[0.688762366771698, 0.6426250338554382, 0.5239176154136658, 0.41254857182502747, 0.3508011996746063, 0.3186100721359253, 0.2996165454387665, 0.2857060730457306, 0.27684396505355835, 0.2671900689601898]","[0.6778935790061951, 0.5932139158248901, 0.45850294828414917, 0.37360134720802307, 0.33585819602012634, 0.31917861104011536, 0.31114131212234497, 0.30818668007850647, 0.30762574076652527, 0.3087098300457001]"
5,0.8740220661985958,0.8760806916426513,0.8954344624447718,0.8738662405034421,"[0.6859563589096069, 0.6208075284957886, 0.49216046929359436, 0.39010775089263916, 0.3387419283390045, 0.30995580554008484, 0.2925865054130554, 0.28003910183906555, 0.2701515853404999, 0.260944128036499]","[0.6686971783638, 0.5606740713119507, 0.43201160430908203, 0.3604458272457123, 0.3302299678325653, 0.3174736499786377, 0.3121306300163269, 0.3106462061405182, 0.311207115650177, 0.31317996978759766]"
