No,Accuracy,Precision,Recall,F1 Score,Loss,Val Loss
1,0.8732196589769308,0.8674188998589563,0.9057437407952872,0.8861671469740633,"[0.6190561056137085, 0.48133641481399536, 0.40365368127822876, 0.3582538962364197, 0.3337658941745758, 0.3165498971939087, 0.30526888370513916, 0.2953338623046875, 0.28652501106262207, 0.27642735838890076]","[0.536332905292511, 0.4246014356613159, 0.36832377314567566, 0.3437357544898987, 0.3277231454849243, 0.3189985752105713, 0.3135528266429901, 0.31094083189964294, 0.3064480423927307, 0.3055998384952545]"
2,0.8744232698094283,0.8740157480314961,0.8991163475699558,0.8863883847549908,"[0.6193146109580994, 0.47986534237861633, 0.39964714646339417, 0.35954049229621887, 0.33538275957107544, 0.3203316032886505, 0.3067544102668762, 0.2964375615119934, 0.2855881154537201, 0.279556006193161]","[0.5376543402671814, 0.42332231998443604, 0.36741214990615845, 0.3464992046356201, 0.3377217650413513, 0.32230398058891296, 0.31379374861717224, 0.3096761405467987, 0.30648404359817505, 0.3042105734348297]"
3,0.8756268806419257,0.8788864786695589,0.8950662739322534,0.8869025902955125,"[0.6084297895431519, 0.4640004336833954, 0.39129549264907837, 0.3507506847381592, 0.32971951365470886, 0.31264346837997437, 0.3018101751804352, 0.29205241799354553, 0.2825259864330292, 0.27489861845970154]","[0.5180898904800415, 0.4106578826904297, 0.36160585284233093, 0.3401506543159485, 0.32499271631240845, 0.3168088495731354, 0.31239861249923706, 0.30876225233078003, 0.30554360151290894, 0.30378180742263794]"
4,0.876629889669007,0.8807538963392534,0.894698085419735,0.8876712328767123,"[0.6200888156890869, 0.4805259704589844, 0.4023118317127228, 0.3580268919467926, 0.3349263668060303, 0.31798672676086426, 0.3050488829612732, 0.2960933446884155, 0.2861212193965912, 0.27729663252830505]","[0.5385790467262268, 0.42507776618003845, 0.3700622320175171, 0.3402635157108307, 0.3268465995788574, 0.3186277747154236, 0.31267020106315613, 0.3093023896217346, 0.3061428666114807, 0.30469247698783875]"
5,0.875827482447342,0.8711504424778761,0.9061119293078056,0.8882873127594297,"[0.6227360963821411, 0.49023929238319397, 0.4102333188056946, 0.3653058707714081, 0.3399060070514679, 0.3226279318332672, 0.3093325197696686, 0.2995116710662842, 0.28828322887420654, 0.28035780787467957]","[0.5453189611434937, 0.4338263273239136, 0.3757849335670471, 0.34609827399253845, 0.3296182453632355, 0.32253652811050415, 0.3144646883010864, 0.31026721000671387, 0.3077273964881897, 0.3057384192943573]"
